kit_name,family,mix_role,output_profile,nominal_peak_db,measured_peak_db,rms_db,crest_db,tail_ms,stereo_width,metadata_complete,tags
"Classique Standard","Classique","foundation","master-ready",-1.00,-0.63,-18.56,17.93,1076.25,0.0917,true,"dry;balanced;punchy"
"Classique Tight","Classique","tight","master-ready",-0.70,-0.61,-19.17,18.56,962.33,0.0985,true,"tight;controlled;dry"
"Classique Open","Classique","open","master-ready",-1.00,-0.47,-16.62,16.15,1599.98,0.0989,true,"open;roomy;wide"
"Acoustique Room","Acoustique","natural","master-ready",-0.60,-0.84,-17.13,16.28,1318.15,0.0982,true,"natural;room;organic"
"Acoustique Studio","Acoustique","mix-ready","master-ready",-0.60,-0.89,-16.97,16.08,1212.08,0.0884,true,"studio;focused;mix-ready"
"Acoustique Brush","Acoustique","soft","master-ready",-0.70,-1.15,-17.24,16.09,1395.73,0.1061,true,"soft;brush;organic"
"Acoustique Jazz","Acoustique","airy","master-ready",-0.60,-0.37,-18.17,17.79,1197.58,0.0989,true,"jazz;airy;light"
"Ambient Pad","Ambient","wash","master-ready",-0.50,-0.63,-18.81,18.18,1599.73,0.1105,true,"ambient;wide;wash"
"Ambient Dark","Ambient","dark","master-ready",-0.80,-0.46,-17.67,17.20,1599.98,0.1145,true,"ambient;dark;textured"
"Ambient Sparse","Ambient","sparse","master-ready",-0.70,-1.09,-19.02,17.93,1599.06,0.1220,true,"ambient;sparse;minimal"
"Cinematique Epic","Cinematique","cinematic","master-ready",-0.70,-0.68,-15.72,15.03,1552.94,0.0907,true,"cinematic;epic;wide"
"Cinematique Tension","Cinematique","aggressive","master-ready",-0.50,-0.87,-15.46,14.58,1284.29,0.0850,true,"cinematic;aggressive;tense"
"Cinematique Hybrid","Cinematique","hybrid","master-ready",-0.30,-0.69,-16.43,15.74,1594.92,0.0993,true,"cinematic;hybrid;designed"
"Cinematique Percussion","Cinematique","percussion-forward","master-ready",-0.40,-0.57,-15.16,14.59,1553.00,0.0938,true,"cinematic;percussion;ensemble"
"Moderne Club","Moderne","club","master-ready",-0.60,-1.10,-19.23,18.12,972.42,0.0991,true,"modern;club;punchy"
"Moderne Lo-Fi","Moderne","lofi","master-ready",-1.60,-1.60,-18.15,16.55,1018.54,0.1032,true,"modern;lofi;textured"
"Moderne Trap","Moderne","trap","master-ready",-0.60,-0.92,-16.69,15.77,1550.02,0.0850,true,"modern;trap;sub"
"Moderne Electro","Moderne","electro","master-ready",-0.60,-1.13,-18.98,17.85,968.10,0.0959,true,"modern;electro;synthetic"
