kit_name,family,mix_role,output_profile,nominal_peak_db,measured_peak_db,rms_db,crest_db,tail_ms,stereo_width,metadata_complete,status,tags
"Classique Standard","Classique","foundation","master-ready",-3.90,-2.86,-24.85,21.98,1052.81,0.0823,true,OK,"dry;balanced;punchy"
"Classique Tight","Classique","tight","master-ready",-2.60,-3.00,-24.74,21.75,853.90,0.0860,true,OK,"tight;controlled;dry"
"Classique Open","Classique","open","master-ready",-3.10,-2.51,-22.56,20.06,1597.56,0.0953,true,OK,"open;roomy;wide"
"Acoustique Room","Acoustique","natural","master-ready",-2.70,-2.82,-23.28,20.46,1240.52,0.0952,true,OK,"natural;room;organic"
"Acoustique Studio","Acoustique","mix-ready","master-ready",-1.90,-1.81,-22.72,20.91,1157.62,0.0836,true,OK,"studio;focused;mix-ready"
"Acoustique Brush","Acoustique","soft","master-ready",-2.10,-2.18,-23.07,20.89,1241.12,0.1013,true,OK,"soft;brush;organic"
"Acoustique Jazz","Acoustique","airy","master-ready",-3.10,-2.97,-24.63,21.66,1030.08,0.0922,true,OK,"jazz;airy;light"
"Ambient Pad","Ambient","wash","master-ready",-3.70,-3.90,-24.61,20.71,1566.23,0.1083,true,OK,"ambient;wide;wash"
"Ambient Dark","Ambient","dark","master-ready",-4.40,-4.71,-24.05,19.34,1596.75,0.0965,true,OK,"ambient;dark;textured"
"Ambient Sparse","Ambient","sparse","master-ready",-4.00,-4.09,-25.06,20.97,1528.10,0.1088,true,OK,"ambient;sparse;minimal"
"Cinematique Epic","Cinematique","cinematic","master-ready",-3.40,-3.29,-22.30,19.00,1348.71,0.0830,true,OK,"cinematic;epic;wide"
"Cinematique Tension","Cinematique","aggressive","master-ready",-2.70,-2.61,-21.64,19.03,1217.02,0.0792,true,OK,"cinematic;aggressive;tense"
"Cinematique Hybrid","Cinematique","hybrid","master-ready",-1.80,-1.69,-21.53,19.84,1599.65,0.1084,true,OK,"cinematic;hybrid;designed"
"Cinematique Percussion","Cinematique","percussion-forward","master-ready",-2.20,-1.60,-21.01,19.41,1349.40,0.0843,true,OK,"cinematic;percussion;ensemble"
"Moderne Club","Moderne","club","master-ready",-1.80,-2.10,-24.86,22.75,887.31,0.0898,true,OK,"modern;club;punchy"
"Moderne Lo-Fi","Moderne","lofi","master-ready",-3.00,-2.23,-24.27,22.05,971.27,0.0965,true,OK,"modern;lofi;textured"
"Moderne Trap","Moderne","trap","master-ready",-2.10,-3.17,-23.76,20.59,1004.77,0.0870,true,OK,"modern;trap;sub"
"Moderne Electro","Moderne","electro","master-ready",-1.80,-1.23,-24.67,23.44,852.31,0.0855,true,OK,"modern;electro;synthetic"
