kit_name,family,mix_role,output_profile,nominal_peak_db,measured_peak_db,rms_db,crest_db,tail_ms,stereo_width,metadata_complete,status,tags
"Classique Standard","Classique","foundation","master-ready",-2.30,-2.05,-24.72,22.68,1053.02,0.0828,true,OK,"dry;balanced;punchy"
"Classique Tight","Classique","tight","master-ready",-2.60,-1.91,-24.65,22.74,838.98,0.0860,true,OK,"tight;controlled;dry"
"Classique Open","Classique","open","master-ready",-1.60,-2.33,-22.64,20.31,1597.50,0.0954,true,OK,"open;roomy;wide"
"Acoustique Room","Acoustique","natural","master-ready",-2.70,-2.16,-23.23,21.07,1241.00,0.0950,true,OK,"natural;room;organic"
"Acoustique Studio","Acoustique","mix-ready","master-ready",-1.90,-1.59,-22.70,21.12,1157.90,0.0840,true,OK,"studio;focused;mix-ready"
"Acoustique Brush","Acoustique","soft","master-ready",-2.10,-1.73,-23.12,21.39,1241.15,0.1010,true,OK,"soft;brush;organic"
"Acoustique Jazz","Acoustique","airy","master-ready",-3.10,-2.97,-24.63,21.65,978.75,0.0926,true,OK,"jazz;airy;light"
"Ambient Pad","Ambient","wash","master-ready",-3.70,-3.51,-24.65,21.14,1571.04,0.1087,true,OK,"ambient;wide;wash"
"Ambient Dark","Ambient","dark","master-ready",-4.40,-4.09,-24.00,19.91,1598.23,0.0972,true,OK,"ambient;dark;textured"
"Ambient Sparse","Ambient","sparse","master-ready",-4.00,-3.97,-24.97,21.00,1524.02,0.1086,true,OK,"ambient;sparse;minimal"
"Cinematique Epic","Cinematique","cinematic","master-ready",-1.40,-2.09,-22.24,20.15,1349.17,0.0827,true,OK,"cinematic;epic;wide"
"Cinematique Tension","Cinematique","aggressive","master-ready",-2.70,-2.79,-21.62,18.82,1216.98,0.0794,true,OK,"cinematic;aggressive;tense"
"Cinematique Hybrid","Cinematique","hybrid","master-ready",-1.80,-1.62,-21.53,19.90,1599.75,0.1079,true,OK,"cinematic;hybrid;designed"
"Cinematique Percussion","Cinematique","percussion-forward","master-ready",-2.20,-1.53,-20.98,19.45,1349.65,0.0844,true,OK,"cinematic;percussion;ensemble"
"Moderne Club","Moderne","club","master-ready",-1.80,-1.48,-24.89,23.40,887.33,0.0902,true,OK,"modern;club;punchy"
"Moderne Lo-Fi","Moderne","lofi","master-ready",-3.00,-2.19,-24.20,22.01,971.33,0.0966,true,OK,"modern;lofi;textured"
"Moderne Trap","Moderne","trap","master-ready",-2.10,-1.50,-23.69,22.19,1004.75,0.0860,true,OK,"modern;trap;sub"
"Moderne Electro","Moderne","electro","master-ready",-1.80,-1.39,-24.69,23.30,852.42,0.0851,true,OK,"modern;electro;synthetic"
