kit_name,family,mix_role,output_profile,nominal_peak_db,measured_peak_db,rms_db,crest_db,tail_ms,stereo_width,metadata_complete,tags
"Classique Standard","Classique","foundation","master-ready",-1.00,-0.80,-18.69,17.89,1076.38,0.0936,true,"dry;balanced;punchy"
"Classique Tight","Classique","tight","master-ready",-0.70,-0.64,-19.14,18.51,962.65,0.0988,true,"tight;controlled;dry"
"Classique Open","Classique","open","master-ready",-1.00,-0.32,-16.50,16.18,1599.98,0.1098,true,"open;roomy;wide"
"Acoustique Room","Acoustique","natural","master-ready",-0.60,-0.68,-17.30,16.62,1318.15,0.1008,true,"natural;room;organic"
"Acoustique Studio","Acoustique","mix-ready","master-ready",-0.60,-1.08,-16.89,15.82,1212.38,0.0901,true,"studio;focused;mix-ready"
"Acoustique Brush","Acoustique","soft","master-ready",-0.70,-0.65,-17.24,16.60,1395.85,0.1078,true,"soft;brush;organic"
"Acoustique Jazz","Acoustique","airy","master-ready",-0.60,-0.06,-18.31,18.25,1197.65,0.1029,true,"jazz;airy;light"
"Ambient Pad","Ambient","wash","master-ready",-0.50,-1.15,-18.68,17.52,1599.81,0.1150,true,"ambient;wide;wash"
"Ambient Dark","Ambient","dark","master-ready",-0.80,-0.48,-17.56,17.08,1599.10,0.1075,true,"ambient;dark;textured"
"Ambient Sparse","Ambient","sparse","master-ready",-0.70,-1.20,-19.01,17.81,1587.56,0.1135,true,"ambient;sparse;minimal"
"Cinematique Epic","Cinematique","cinematic","master-ready",-0.70,-0.18,-15.64,15.46,1552.85,0.0898,true,"cinematic;epic;wide"
"Cinematique Tension","Cinematique","aggressive","master-ready",-0.50,0.06,-15.44,15.49,1278.77,0.0854,true,"cinematic;aggressive;tense"
"Cinematique Hybrid","Cinematique","hybrid","master-ready",-0.30,-0.70,-16.45,15.75,1599.98,0.1262,true,"cinematic;hybrid;designed"
"Cinematique Percussion","Cinematique","percussion-forward","master-ready",-0.40,-0.23,-15.01,14.79,1552.98,0.0917,true,"cinematic;percussion;ensemble"
"Moderne Club","Moderne","club","master-ready",-0.60,-1.16,-19.19,18.04,972.38,0.0975,true,"modern;club;punchy"
"Moderne Lo-Fi","Moderne","lofi","master-ready",-1.60,-1.31,-18.44,17.13,1003.92,0.1034,true,"modern;lofi;textured"
"Moderne Trap","Moderne","trap","master-ready",-0.60,-0.85,-17.82,16.97,1072.23,0.0916,true,"modern;trap;sub"
"Moderne Electro","Moderne","electro","master-ready",-0.60,-0.75,-19.08,18.33,968.31,0.0935,true,"modern;electro;synthetic"
