file,type,kit,target,peak_db,rms_db,crest_db,tail_ms,stereo_width,finite,status,notes
"qa\drum_release_suite\main.wav","main","MULTI","8-bar deterministic drum RC groove",-1.01,-15.81,14.80,21765.85,0.0814,true,"PASS","slow groove, fast hats, cinematic fill, electro outro"
"qa\drum_release_suite\stems\core_kick_snare.wav","stem","MULTI","core_kick_snare",-1.63,-16.37,14.74,21409.75,0.0758,true,"PASS","stem from release groove suite"
"qa\drum_release_suite\stems\hats_cymbals.wav","stem","MULTI","hats_cymbals",-14.43,-45.52,31.08,21466.27,0.1534,true,"PASS","stem from release groove suite"
"qa\drum_release_suite\stems\percussion_toms.wav","stem","MULTI","percussion_toms",-4.15,-25.18,21.03,21544.90,0.1119,true,"PASS","stem from release groove suite"
"qa\drum_release_suite\stems\fx.wav","stem","MULTI","fx",-12.82,-39.26,26.45,21764.58,0.1551,true,"PASS","stem from release groove suite"
"qa\drum_release_suite\identity\00_kick_a.wav","identity","Classique Standard","Kick A",-4.15,-20.07,15.91,1176.88,0.0636,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\01_kick_b.wav","identity","Classique Standard","Kick B",-4.15,-22.16,18.01,815.62,0.0807,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\02_snare.wav","identity","Acoustique Studio","Snare",-4.15,-29.82,25.67,686.25,0.0854,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\03_clap.wav","identity","Acoustique Studio","Clap",-4.15,-33.03,28.88,641.98,0.1747,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\04_hat_closed.wav","identity","Moderne Trap","Hat Closed",-4.15,-42.17,38.01,412.17,0.1271,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\05_hat_open.wav","identity","Moderne Trap","Hat Open",-4.15,-35.13,30.98,608.06,0.0937,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\06_perc_1.wav","identity","Cinematique Percussion","Perc 1",-4.15,-29.96,25.81,780.85,0.1342,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\07_perc_2.wav","identity","Cinematique Percussion","Perc 2",-4.15,-27.90,23.75,860.83,0.1304,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\08_tom_low.wav","identity","Cinematique Percussion","Tom Low",-4.15,-21.15,17.00,1021.98,0.0872,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\09_tom_high.wav","identity","Cinematique Percussion","Tom High",-4.15,-22.07,17.92,919.00,0.1118,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\10_crash.wav","identity","Cinematique Epic","Crash",-4.15,-27.93,23.78,1255.77,0.1432,true,"PASS","single-pad identity render"
"qa\drum_release_suite\identity\11_fx.wav","identity","Moderne Electro","FX",-4.15,-28.53,24.38,698.33,0.1077,true,"PASS","single-pad identity render"
