file,type,kit,target,peak_db,rms_db,crest_db,tail_ms,stereo_width,finite,status,notes
"synth_drum\qa\drum_release_suite_after_metal_fix\main.wav","main","MULTI","8-bar deterministic drum RC groove",-1.01,-15.78,14.77,21767.75,0.0816,true,"PASS","slow groove, fast hats, cinematic fill, electro outro"
"synth_drum\qa\drum_release_suite_after_metal_fix\stems\core_kick_snare.wav","stem","MULTI","core_kick_snare",-1.61,-16.35,14.74,21417.90,0.0758,true,"PASS","stem from release groove suite"
"synth_drum\qa\drum_release_suite_after_metal_fix\stems\hats_cymbals.wav","stem","MULTI","hats_cymbals",-14.58,-42.70,28.12,21470.31,0.1563,true,"PASS","stem from release groove suite"
"synth_drum\qa\drum_release_suite_after_metal_fix\stems\percussion_toms.wav","stem","MULTI","percussion_toms",-4.12,-25.16,21.03,21544.85,0.1119,true,"PASS","stem from release groove suite"
"synth_drum\qa\drum_release_suite_after_metal_fix\stems\fx.wav","stem","MULTI","fx",-12.75,-39.24,26.49,21764.58,0.1570,true,"PASS","stem from release groove suite"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\00_kick_a.wav","identity","Classique Standard","Kick A",-4.15,-20.07,15.91,1176.88,0.0636,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\01_kick_b.wav","identity","Classique Standard","Kick B",-4.15,-22.16,18.01,815.65,0.0807,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\02_snare.wav","identity","Acoustique Studio","Snare",-4.15,-30.31,26.16,692.40,0.0858,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\03_clap.wav","identity","Acoustique Studio","Clap",-4.15,-33.80,29.65,638.38,0.1831,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\04_hat_closed.wav","identity","Moderne Trap","Hat Closed",-4.15,-39.09,34.94,518.92,0.1088,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\05_hat_open.wav","identity","Moderne Trap","Hat Open",-4.15,-34.07,29.92,574.04,0.0883,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\06_perc_1.wav","identity","Cinematique Percussion","Perc 1",-4.15,-28.55,24.40,781.02,0.1336,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\07_perc_2.wav","identity","Cinematique Percussion","Perc 2",-4.15,-29.25,25.09,782.38,0.1302,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\08_tom_low.wav","identity","Cinematique Percussion","Tom Low",-4.15,-21.15,17.00,1021.98,0.0872,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\09_tom_high.wav","identity","Cinematique Percussion","Tom High",-4.15,-22.07,17.91,919.00,0.1118,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\10_crash.wav","identity","Cinematique Epic","Crash",-4.15,-27.72,23.57,1266.77,0.1348,true,"PASS","single-pad identity render"
"synth_drum\qa\drum_release_suite_after_metal_fix\identity\11_fx.wav","identity","Moderne Electro","FX",-4.15,-28.63,24.48,698.31,0.1215,true,"PASS","single-pad identity render"
